,inventory,src_index,inventory_id,inventory_id_name,lsidx,trigger,type,material,spat_unc,ID_HDC_G0,UC_NM_MN,date_local_midnight_utc,precip_source,Gauge ID,station_dist,tr_start,tr_tpk,tr_htopk,tr_cptopk,tr_nnantopk,e_start,e_htopk,e_cptopk,e_nnantopk
726,NASA GLC,6985,2840,event_id,6985,Precipitation,Slide,Unknown,<1km,140,Seattle,2010-12-12 08:00:00+00:00,GSDR,ISD_727934-94248,8732.33900369573,2010-12-11 20:00:00+00:00,2010-12-12 08:00:00+00:00,13,33.25,1,2010-12-08 01:00:00+00:00,104,80.2,10
1216,NASA GLC,7009,6409,event_id,7009,Precipitation,Slide,Earth,<10km,10,San Jose,2014-12-02 08:00:00+00:00,GSDR,ISD_724940-23234,18707.9200340099,2014-12-02 10:00:00+00:00,2014-12-02 14:00:00+00:00,5,24,0,2014-11-30 04:00:00+00:00,59,43,5
1144,NASA GLC,7055,2439,event_id,7055,Precipitation,Slide,Unknown,<1km,8628,Vijayawada,2010-09-16 18:30:00+00:00,GSDR,IN_19,15003.3184480178,2010-09-17 14:30:00+00:00,2010-09-17 14:30:00+00:00,1,1.3,0,2010-09-11 11:30:00+00:00,148,95.2,0
1228,NASA GLC,7062,5004,event_id,7062,Precipitation,Slide,Earth,<5km,681,Cincinnati,2013-07-01 04:00:00+00:00,GSDR,ISD_724210-93814,19102.8650670998,2013-07-01 21:00:00+00:00,2013-07-01 21:00:00+00:00,1,12.4,0,2013-07-01 21:00:00+00:00,1,12.4,0
1069,NASA GLC,7071,2876,event_id,7071,Precipitation,Slide,Earth,<1km,14,Los Angeles,2010-12-21 08:00:00+00:00,GSDR,US_CA_192,12743.7692696137,2010-12-19 11:00:00+00:00,2010-12-22 08:00:00+00:00,70,273.558,0,2010-12-18 00:00:00+00:00,105,298.958,0
357,NASA GLC,7085,7802,event_id,7085,Precipitation,Slide,Unknown,Exact,140,Seattle,2006-02-28 08:00:00+00:00,GSDR,ISD_727935-24234,4790.12466110351,2006-02-27 22:00:00+00:00,2006-02-28 12:00:00+00:00,15,12,0,2006-02-27 00:00:00+00:00,37,14.9,0
515,NASA GLC,7095,7827,event_id,7095,Precipitation,Slide,Unknown,<1km,140,Seattle,1997-01-01 08:00:00+00:00,GSDR,US_457458,6567.15143607183,1997-01-01 19:00:00+00:00,1997-01-01 21:00:00+00:00,3,13.716,0,1996-12-29 05:00:00+00:00,89,140.462,0
1056,NASA GLC,7126,9332,event_id,7126,Precipitation,Slide,Unknown,<1km,819,Pittsburgh,2016-02-24 05:00:00+00:00,GSDR,ISD_725200-94823,12443.9763693355,2016-02-24 20:00:00+00:00,2016-02-24 21:00:00+00:00,2,7.6,0,2016-02-24 08:00:00+00:00,14,19.7,0
385,NASA GLC,7128,846,event_id,7128,Precipitation,Complex,Unknown,<10km,11139,Kuala Lumpur,2008-10-14 16:00:00+00:00,GSDR,MY_kuala lumpur_3016102,5144.27054338003,2008-10-14 16:00:00+00:00,2008-10-14 16:00:00+00:00,1,9,0,2008-10-14 16:00:00+00:00,1,9,0
1098,NASA GLC,7132,3223,event_id,7132,Precipitation,Slide,Earth,<1km,140,Seattle,2011-03-14 07:00:00+00:00,GSDR,ISD_727935-24234,13701.0644613003,2011-03-14 09:00:00+00:00,2011-03-14 10:00:00+00:00,2,2.5,0,2011-03-08 10:00:00+00:00,145,69.7,12
472,NASA GLC,7135,1717,event_id,7135,Precipitation,Slide,Unknown,<1km,1361,Rio de Janeiro,2010-04-06 03:00:00+00:00,GSDR,BR_3,6077.24787994206,2010-04-05 12:00:00+00:00,2010-04-06 08:00:00+00:00,21,215.6,0,2010-04-04 20:00:00+00:00,37,222.4,0
